id,relevance
1,2.37619318358
4,2.37609870902
5,2.37669528572
6,2.37844862073
7,2.37844862073
8,2.37661077253
10,2.37604094023
11,2.37604094023
12,2.37618322984
13,2.38205786649
14,2.37944485395
15,2.37988061347
19,2.3908859354
22,2.39267727152
24,2.35818433148
25,2.37267835635
26,2.3732317465
28,2.35153348785
29,2.35064306583
30,2.35083801662
31,2.35060699435
32,2.35083801662
33,2.35064306583
36,2.46265645826
39,2.46253939896
40,2.46363850195
41,2.4575473149
42,2.46200733321
43,2.46083003977
44,2.46187792556
45,2.46408076406
46,2.46253939896
47,2.3790995935
49,2.37943572543
50,2.37974353091
52,2.38848817699
53,2.38771439631
54,2.38819333421
55,2.39163900043
56,2.38848817699
57,2.38794364692
58,2.38794364692
59,2.39151769973
60,2.36865228303
61,2.36851506224
62,2.36851506224
63,2.37008801353
64,2.37002320493
66,2.37180926051
67,2.32462869475
68,2.31042087531
70,2.32180935321
71,2.32275756744
72,2.32279506542
73,2.31672502346
74,2.31672502346
76,2.32152971526
77,2.31398791904
78,2.31951296546
79,2.32314713099
80,2.32139477456
82,2.32240550187
83,2.32162392161
84,2.31887551119
86,2.35967154046
87,2.36171956487
89,2.3724896194
91,2.37227300934
93,2.37249132442
94,2.3723791112
95,2.3723791112
96,2.3724896194
97,2.3724896194
98,2.37363118841
99,2.3724896194
100,2.37214218846
102,2.37523214951
103,2.3724896194
104,2.37185990833
107,2.3724896194
108,2.3723791112
109,2.44591217405
110,2.45316275122
111,2.45122805936
112,2.37983707776
115,2.37983707776
116,2.39415526558
118,2.39331351801
119,2.39428345237
121,2.39428345237
124,2.32115519824
126,2.32086242704
128,2.31982270326
129,2.32123531721
130,2.32115519824
131,2.46054358475
132,2.46041230622
133,2.36965439689
134,2.36849618045
135,2.36867334572
137,2.36994490185
139,2.37016130068
140,2.36963273523
141,2.34747680699
142,2.34498144108
144,2.3446742261
145,2.3490657854
146,2.34747680699
148,2.37161725036
151,2.37246451337
152,2.37161725036
153,2.37161725036
154,2.37152266618
155,2.37161725036
156,2.36996041096
159,2.37171932035
160,2.36996041096
161,2.37345907931
163,2.38531637959
167,2.36753357462
168,2.36753357462
169,2.36761611621
170,2.37232164091
171,2.37232164091
173,2.3860482634
174,2.38329578219
175,2.38451253309
176,2.3860482634
180,2.3860482634
183,2.38414599812
184,2.38329578219
185,2.38329578219
187,2.38497131413
188,2.3860482634
189,2.3860482634
190,2.38559501429
192,2.38451253309
194,2.38451253309
196,2.33629227733
197,2.33497978575
198,2.36403004113
199,2.36403004113
200,2.36403004113
204,2.38187839279
206,2.3810755799
207,2.35314834631
208,2.35393515701
209,2.35483708243
211,2.39913049881
212,2.39856196942
213,2.39856196942
216,2.39900907515
217,2.39451173993
218,2.39506965192
219,2.3949294854
220,2.3952688546
221,2.39564369763
222,2.39442522044
224,2.39538705232
225,2.3952688546
228,2.3952688546
229,2.39506965192
230,2.39427811906
231,2.39564369763
232,2.39564369763
